Type,Description,Bedrooms,Bathroom,Area,Neighborhood,Disctrict,Price
Apartment,Apartment on sale,3,3,66,La Boca,Disctrict 4,261500000
Apartment,Apartment on sale,3,2,78,Parque Chacabuco,Disctrict 7,278000000
Apartment,Apartment on sale,3,2,60,Velez Sarsfield,Disctrict 10,258000000
Apartment,Apartment on sale,3,3,87,Floresta,Disctrict 10,520000000
House,House on sale,3,2,75,Villa Gral. Mitre,Disctrict 11,200000000
Apartment,Apartment on sale,2,2,45,Boedo,Disctrict 5,129000000
Apartment,Apartment on sale,3,2,75,Colegiales,Disctrict 13,350000000
Apartment,Apartment on sale,32,2,63,Parque Chas,Disctrict 15,290500000
Apartment,Apartment on sale,3,2,130,Villa Urquiza,Disctrict 12,750000000
Apartment,Apartment on sale,1,1,64,Villa Urquiza,Disctrict 12,495000000
House,House on sale,3,2,86,Villa Lugano,Disctrict 8,285000000
Apartment,Apartment on sale,4,4,160,Villa del Parque,Disctrict 11,900000000
Apartment,Apartment on sale,4,4,294,Agronomia,Disctrict 15,1800000000
Apartment,Apartment on sale,3,3,206,San Cristobal,Disctrict 3,990000000
Apartment,Apartment on sale,3,3,103,Villa Lugano,Disctrict 8,418000000
Apartment,Apartment on sale,2,2,80,Montserrat,Disctrict 1,349000000
Apartment,Apartment on sale,3,1,101,Martinez,Disctrict 13,565000000
Apartment,Apartment on sale,3,3,87,Retiro,Disctrict 1,370000000
Apartment,Apartment on sale,3,2,78,Retiro,Disctrict 1,259000000
Apartment,Apartment on sale,3,2,68,Villa Soldati,Disctrict 8,310000000
Apartment,Apartment on sale,2,2,79,Barracas,Disctrict 4,354000000
Apartment,Apartment on sale,3,3,92,Villa Real,Disctrict 10,372000000
Apartment,Apartment on sale,3,2,88,San Telmo,Disctrict 1,500000000
Apartment,Apartment on sale,3,2,84,Flores,Disctrict 7,420000000
Apartment,Apartment on sale,3,3,177,San Cristobal,Disctrict 3,1050000000
Apartment,Apartment on sale,2,1,40,Villa Riachuelo,Disctrict 8,185000000
Apartment,Apartment on sale,2,2,80,Versalles,Disctrict 10,349000000
Apartment,Apartment on sale,3,3,109,Villa Luro,Disctrict 10,515000000
Apartment,Apartment on sale,3,2,75,Balvanera,Disctrict 3,287000000
Apartment,Apartment on sale,2,1,50,Boedo,Disctrict 5,265000000
Apartment,Apartment on sale,3,2,87,Villa Soldati,Disctrict 8,500000000
Apartment,Apartment on sale,3,3,66,La Boca,Disctrict 4,261500000
Apartment,Apartment on sale,3,2,61,Villa Pueyrredon,Disctrict 12,300000000
Apartment,Apartment on sale,3,2,78,Flores,Disctrict 7,278000000
Apartment,Apartment on sale,3,2,60,Villa Crespo,Disctrict 15,258000000
Apartment,Apartment on sale,3,3,87,Monte Castro,Disctrict 10,520000000
Apartment,Apartment on sale,3,2,75,Velez Sarsfield,Disctrict 10,350000000
Apartment,Apartment on sale,32,2,63,Villa Lugano,Disctrict 8,290500000
Apartment,Apartment on sale,2,2,45,Villa Urquiza,Disctrict 12,129000000
House,House on sale,3,2,75,Colegiales,Disctrict 13,200000000
Apartment,Apartment on sale,3,2,130,Villa Real,Disctrict 10,750000000
Apartment,Apartment on sale,3,3,103,Monte Castro,Disctrict 10,418000000
Apartment,Apartment on sale,1,1,64,Villa Real,Disctrict 10,495000000
Apartment,Apartment on sale,2,2,80,Agronomia,Disctrict 15,349000000
Apartment,Apartment on sale,3,2,68,Nueva Pompeya,Disctrict 4,310000000
Apartment,Apartment on sale,3,1,101,Agronomia,Disctrict 15,565000000
Apartment,Apartment on sale,3,3,87,Recoleta,Disctrict 2,370000000
Apartment,Apartment on sale,3,2,78,San Nicolas,Disctrict 1,259000000
Apartment,Apartment on sale,2,2,79,Villa Devoto,Disctrict 11,354000000
House,House on sale,3,2,86,Villa del Parque,Disctrict 11,285000000
Apartment,Apartment on sale,3,2,84,Velez Sarsfield,Disctrict 10,420000000
Apartment,Apartment on sale,3,3,92,Retiro,Disctrict 1,372000000
Apartment,Apartment on sale,3,2,88,Villa Riachuelo,Disctrict 8,500000000
Apartment,Apartment on sale,2,1,40,Almagro,Disctrict 5,185000000
Apartment,Apartment on sale,3,3,177,Agronomia,Disctrict 15,1050000000
Apartment,Apartment on sale,2,2,80,Boedo,Disctrict 5,349000000
Apartment,Apartment on sale,4,4,294,La Paternal,Disctrict 15,1800000000
Apartment,Apartment on sale,4,4,160,Villa Santa Rita,Disctrict 11,900000000
Apartment,Apartment on sale,3,3,206,Villa Riachuelo,Disctrict 8,990000000
Apartment,Apartment on sale,2,2,60,Recoleta,Disctrict 2,225000000
Apartment,Apartment on sale,3,1,44,Almagro,Disctrict 5,148000000
Apartment,Apartment on sale,2,2,53,Boedo,Disctrict 5,331500000
Apartment,Apartment on sale,1,1,58,Versalles,Disctrict 10,300000000
Apartment,Apartment on sale,3,2,152,Almagro,Disctrict 5,1030000000
Apartment,Apartment on sale,2,1,40,San Nicolas,Disctrict 1,195000000
Apartment,Apartment on sale,2,1,40,Puerto Madero,Disctrict 1,200000000
Apartment,Apartment on sale,3,1,48,Puerto Madero,Disctrict 1,168000000
Apartment,Apartment on sale,3,2,68,San Nicolas,Disctrict 1,323000000
House,House on sale,3,2,86,Colegiales,Disctrict 13,275000000
Apartment,Apartment on sale,3,3,114,Villa Crespo,Disctrict 15,510000000
Apartment,Apartment on sale,2,1,44,Villa Devoto,Disctrict 11,176000000
Apartment,Apartment on sale,3,2,100,Martinez,Disctrict 13,680000000
Apartment,Apartment on sale,3,2,100,Parque Chacabuco,Disctrict 7,680000000
Apartment,Apartment on sale,3,2,45,Palermo,Disctrict 14,217000000
Apartment,Apartment on sale,3,5,178,Nueva Pompeya,Disctrict 4,1050000000
House,House on sale,4,3,105,Villa Ortazar,Disctrict 15,375000000
Apartment,Apartment on sale,3,2,98,Almagro,Disctrict 5,458000000
Oficina/Consultorio,Oficina/Consultorio on sale,4,2,200,San Cristobal,Disctrict 3,2000000000
Apartment,Apartment on sale,1,2,69,Villa Gral. Mitre,Disctrict 11,425000000
Apartment,Apartment on sale,3,2,73,Agronomia,Disctrict 15,318000000
Apartment,Apartment on sale,4,4,158,Versalles,Disctrict 10,660000000
Apartment,Apartment on sale,3,4,100,Flores,Disctrict 7,730000000
Apartment,Apartment on sale,3,1,54,Parque Patricios,Disctrict 4,140000000
Apartment,Apartment on sale,3,2,78,Colegiales,Disctrict 13,343000000
Apartment,Apartment on sale,3,2,89,Villa Ortazar,Disctrict 15,385000000
House,House on sale,4,4,220,Villa Lugano,Disctrict 8,1300000000
House,House on sale,4,3,280,Chacarita,Disctrict 15,1195000000
Apartment,Apartment on sale,2,3,85,San Nicolas,Disctrict 1,519000000
Apartment,Apartment on sale,2,2,54,Villa Santa Rita,Disctrict 11,350000000
Apartment,Apartment on sale,3,2,49,Villa Ortazar,Disctrict 15,202000000
Apartment,Apartment on sale,4,3,115,Almagro,Disctrict 5,429000000
Apartment,Apartment on sale,2,2,88,Coghlan,Disctrict 12,640000000
Apartment,Apartment on sale,2,2,67,Belgrano,Disctrict 13,435000000
Apartment,Apartment on sale,3,2,100,Saavedra,Disctrict 12,610000000
Apartment,Apartment on sale,2,2,77,Villa Urquiza,Disctrict 12,650000000
Apartment,Apartment on sale,1,2,61,Villa Soldati,Disctrict 8,421000000
Apartment,Apartment on sale,3,4,150,Monte Castro,Disctrict 10,1300000000
Apartment,Apartment on sale,3,1,39,Villa Santa Rita,Disctrict 11,155000000
Apartment,Apartment on sale,3,3,100,Caballito,Disctrict 6,530000000
Apartment,Apartment on sale,2,2,58,Parque Patricios,Disctrict 4,330000000
Apartment,Apartment on sale,3,2,60,Nueva Pompeya,Disctrict 4,225000000
Apartment,Apartment on sale,3,1,50,Saavedra,Disctrict 12,143000000
Apartment,Apartment on sale,2,2,51,Boedo,Disctrict 5,245500000
Apartment,Apartment on sale,2,3,97,Flores,Disctrict 7,433000000
Apartment,Apartment on sale,3,2,71,Boedo,Disctrict 5,315000000
Apartment,Apartment on sale,2,3,82,Villa Devoto,Disctrict 11,450000000
Apartment,Apartment on sale,1,1,57,Belgrano,Disctrict 13,350000000
Apartment,Apartment on sale,2,2,51,Villa Devoto,Disctrict 11,205000000
House,House on sale,4,5,236,Villa Lugano,Disctrict 8,1200000000
Apartment,Apartment on sale,3,2,54,San Telmo,Disctrict 1,169000000
Apartment,Apartment on sale,1,2,66,Floresta,Disctrict 10,375000000
Apartment,Apartment on sale,3,3,120,Floresta,Disctrict 10,460000000
Apartment,Apartment on sale,1,2,48,La Boca,Disctrict 4,308000000
Apartment,Apartment on sale,2,4,104,Barracas,Disctrict 4,1100000000
Apartment,Apartment on sale,2,2,69,Villa del Parque,Disctrict 11,400000000
House,House on sale,4,2,200,Villa Real,Disctrict 10,860000000
House,House on sale,7,4,325,Versalles,Disctrict 10,1650000000
Apartment,Apartment on sale,1,1,53,Villa Urquiza,Disctrict 12,565000000
Apartment,Apartment on sale,3,2,63,Villa Devoto,Disctrict 11,238000000
Apartment,Apartment on sale,3,3,108,San Nicolas,Disctrict 1,503000000
Apartment,Apartment on sale,3,2,86,Saavedra,Disctrict 12,330000000
Apartment,Apartment on sale,2,2,69,Saavedra,Disctrict 12,400000000
House,House on sale,7,4,325,Velez Sarsfield,Disctrict 10,1650000000
Apartment,Apartment on sale,3,2,96,Villa Ortazar,Disctrict 15,580000000
Apartment,Apartment on sale,3,3,108,Parque Avellaneda,Disctrict 9,503000000
Apartment,Apartment on sale,4,3,135,Villa Crespo,Disctrict 15,635000000
Apartment,Apartment on sale,3,2,103,Liniers,Disctrict 9,499000000
Apartment,Apartment on sale,2,2,53,Liniers,Disctrict 9,371000000
Apartment,Apartment on sale,3,2,56,La Paternal,Disctrict 15,179000000
Apartment,Apartment on sale,2,2,83,Villa Lugano,Disctrict 8,348200000
Apartment,Apartment on sale,3,2,63,San Nicolas,Disctrict 1,238000000
Apartment,Apartment on sale,3,2,59,Villa del Parque,Disctrict 11,173000000
Apartment,Apartment on sale,3,3,66,Versalles,Disctrict 10,257000000
Apartment,Apartment on sale,2,4,104,Recoleta,Disctrict 2,1100000000
Apartment,Apartment on sale,3,2,70,Villa Gral. Mitre,Disctrict 11,298500000
Apartment,Apartment on sale,3,2,100,Nueva Pompeya,Disctrict 4,680000000
Apartment,Apartment on sale,3,2,100,Villa del Parque,Disctrict 11,680000000
Apartment,Apartment on sale,3,2,45,Martinez,Disctrict 13,217000000
Apartment,Apartment on sale,3,5,178,La Paternal,Disctrict 15,1050000000
House,House on sale,4,3,105,Agronomia,Disctrict 15,375000000
Apartment,Apartment on sale,4,4,158,San Cristobal,Disctrict 3,660000000
Apartment,Apartment on sale,3,2,73,Villa Riachuelo,Disctrict 8,318000000
Apartment,Apartment on sale,3,2,98,San Telmo,Disctrict 1,458000000
Apartment,Apartment on sale,1,2,69,La Boca,Disctrict 4,425000000
Oficina/Consultorio,Oficina/Consultorio on sale,4,2,200,Parque Patricios,Disctrict 4,2000000000
Apartment,Apartment on sale,3,2,78,Coghlan,Disctrict 12,343000000
Apartment,Apartment on sale,3,4,100,Villa Santa Rita,Disctrict 11,730000000
Apartment,Apartment on sale,3,1,54,Flores,Disctrict 7,140000000
House,House on sale,4,4,220,Liniers,Disctrict 9,1300000000
Apartment,Apartment on sale,3,2,89,Balvanera,Disctrict 3,385000000
Apartment,Apartment on sale,1,2,59,Barracas,Disctrict 4,369000000
Apartment,Apartment on sale,1,2,51,Constitucion,Disctrict 1,366000000
Apartment,Apartment on sale,2,3,92,Montserrat,Disctrict 1,378000000
Apartment,Apartment on sale,1,2,54,Villa Lugano,Disctrict 8,355000000
Apartment,Apartment on sale,3,3,121,Villa Riachuelo,Disctrict 8,700000000
Apartment,Apartment on sale,3,3,150,Boedo,Disctrict 5,990000000
Apartment,Apartment on sale,3,3,102,Parque Avellaneda,Disctrict 9,600000000
Apartment,Apartment on sale,3,3,122,Colegiales,Disctrict 13,516000000
Apartment,Apartment on sale,3,3,82,Villa Ortazar,Disctrict 15,350000000
Apartment,Apartment on sale,2,2,78,La Boca,Disctrict 4,475000000
Apartment,Apartment on sale,3,2,141,Retiro,Disctrict 1,749000000
House,House on sale,4,3,280,Floresta,Disctrict 10,1195000000
Apartment,Apartment on sale,2,2,75,Saavedra,Disctrict 12,498000000
Apartment,Apartment on sale,1,1,35,La Paternal,Disctrict 15,269000000
Apartment,Apartment on sale,2,1,43,Villa Urquiza,Disctrict 12,153000000
Apartment,Apartment on sale,4,3,82,Parque Avellaneda,Disctrict 9,335000000
Apartment,Apartment on sale,3,2,77,Villa Urquiza,Disctrict 12,399000000
Apartment,Apartment on sale,1,2,51,Constitucion,Disctrict 1,373000000
Apartment,Apartment on sale,2,2,70,Villa Riachuelo,Disctrict 8,415000000
Apartment,Apartment on sale,3,4,180,Puerto Madero,Disctrict 1,1550000000
Apartment,Apartment on sale,3,3,90,Colegiales,Disctrict 13,460000000
Apartment,Apartment on sale,2,1,52,Villa Soldati,Disctrict 8,225000000
Apartment,Apartment on sale,3,2,58,Villa Urquiza,Disctrict 12,200000000
Apartment,Apartment on sale,2,2,50,Martinez,Disctrict 13,234000000
Apartment,Apartment on sale,4,2,73,Montserrat,Disctrict 1,199000000
Apartment,Apartment on sale,2,2,83,Nueva Pompeya,Disctrict 4,450000000
Apartment,Apartment on sale,5,5,375,La Paternal,Disctrict 15,1400000000
Apartment,Apartment on sale,3,2,49,Villa Real,Disctrict 10,202000000
Apartment,Apartment on sale,2,2,54,Villa del Parque,Disctrict 11,350000000
Apartment,Apartment on sale,2,3,85,Barracas,Disctrict 4,519000000
Apartment,Apartment on sale,2,2,60,Balvanera,Disctrict 3,310000000
Apartment,Apartment on sale,3,3,70,Villa Soldati,Disctrict 8,355000000
Apartment,Apartment on sale,3,2,108,Barracas,Disctrict 4,545000000
Apartment,Apartment on sale,2,2,89,San Cristobal,Disctrict 3,720000000
Apartment,Apartment on sale,3,2,95,Puerto Madero,Disctrict 1,650000000
Apartment,Apartment on sale,3,2,87,Puerto Madero,Disctrict 1,343000000
Apartment,Apartment on sale,3,1,46,La Paternal,Disctrict 15,127000000
Apartment,Apartment on sale,3,2,70,Boedo,Disctrict 5,370000000
Apartment,Apartment on sale,3,1,57,Retiro,Disctrict 1,162000000
Apartment,Apartment on sale,3,4,300,Boedo,Disctrict 5,1560000000
Apartment,Apartment on sale,3,1,48,Villa Soldati,Disctrict 8,136000000
House,House on sale,4,2,90,Villa Urquiza,Disctrict 12,265000000
Apartment,Apartment on sale,2,1,43,Villa Riachuelo,Disctrict 8,131000000
House,House on sale,3,2,114,Villa Crespo,Disctrict 15,416000000
Apartment,Apartment on sale,2,1,43,Villa Devoto,Disctrict 11,161000000
House,House on sale,4,3,210,Villa Santa Rita,Disctrict 11,900000000
House,House on sale,4,2,105,Villa Urquiza,Disctrict 12,389000000
Apartment,Apartment on sale,3,1,54,Constitucion,Disctrict 1,190000000
Apartment,Apartment on sale,3,1,50,San Nicolas,Disctrict 1,139000000
Apartment,Apartment on sale,2,2,70,Villa Real,Disctrict 10,319000000
Apartment,Apartment on sale,1,2,52,Belgrano,Disctrict 13,327000000
Apartment,Apartment on sale,1,2,70,La Boca,Disctrict 4,474500000
Apartment,Apartment on sale,1,2,48,Martinez,Disctrict 13,308000000
Apartment,Apartment on sale,3,3,134,San Nicolas,Disctrict 1,720000000
Apartment,Apartment on sale,3,2,66,Balvanera,Disctrict 3,310000000
Apartment,Apartment on sale,2,1,40,Mataderos,Disctrict 9,177500000
House,House on sale,4,3,222,Monte Castro,Disctrict 10,1200000000
Apartment,Apartment on sale,3,2,77,Parque Avellaneda,Disctrict 9,380000000
Apartment,Apartment on sale,3,2,53,San Telmo,Disctrict 1,210000000
House,House on sale,14,7,360,Puerto Madero,Disctrict 1,1290000000
Apartment,Apartment on sale,3,2,77,Villa Crespo,Disctrict 15,320000000
Apartment,Apartment on sale,1,2,60,Villa Devoto,Disctrict 11,445000000
Apartment,Apartment on sale,3,2,91,Saavedra,Disctrict 12,340000000
Apartment,Apartment on sale,3,3,114,Liniers,Disctrict 9,510000000
House,House on sale,7,3,240,Villa Soldati,Disctrict 8,465000000
Apartment,Apartment on sale,2,1,42,Saavedra,Disctrict 12,220000000
Apartment,Apartment on sale,3,2,69,Belgrano,Disctrict 13,337000000
Apartment,Apartment on sale,2,2,54,Villa Riachuelo,Disctrict 8,260000000
Apartment,Apartment on sale,3,3,98,Agronomia,Disctrict 15,445000000
Apartment,Apartment on sale,3,2,74,Villa Santa Rita,Disctrict 11,290000000
Apartment,Apartment on sale,2,2,56,Parque Patricios,Disctrict 4,342514000
Apartment,Apartment on sale,2,3,89,Parque Patricios,Disctrict 4,625000000
Apartment,Apartment on sale,3,2,90,Nueva Pompeya,Disctrict 4,490000000
Apartment,Apartment on sale,3,2,71,Villa Lugano,Disctrict 8,350000000
Apartment,Apartment on sale,3,2,90,La Paternal,Disctrict 15,444150000
Apartment,Apartment on sale,3,2,78,Mataderos,Disctrict 9,360000000
Apartment,Apartment on sale,1,2,54,Nueva Pompeya,Disctrict 4,370000000
Apartment,Apartment on sale,3,2,52,Villa Gral. Mitre,Disctrict 11,150000000
Apartment,Apartment on sale,2,2,54,Constitucion,Disctrict 1,232500000
Apartment,Apartment on sale,3,2,64,La Boca,Disctrict 4,271000000
Apartment,Apartment on sale,1,2,60,Montserrat,Disctrict 1,450000000
Apartment,Apartment on sale,3,2,55,Velez Sarsfield,Disctrict 10,163500000
Apartment,Apartment on sale,4,2,88,Barracas,Disctrict 4,390000000
House,House on sale,3,2,89,Flores,Disctrict 7,300000000
Apartment,Apartment on sale,3,3,85,Montserrat,Disctrict 1,406000000
Apartment,Apartment on sale,1,2,61,Monte Castro,Disctrict 10,465000000
Apartment,Apartment on sale,2,2,62,Floresta,Disctrict 10,390000000
Apartment,Apartment on sale,2,1,37,Balvanera,Disctrict 3,175000000
Apartment,Apartment on sale,2,2,91,Parque Chas,Disctrict 15,445000000
Apartment,Apartment on sale,2,2,60,Villa Luro,Disctrict 10,422000000
Apartment,Apartment on sale,3,4,112,Monte Castro,Disctrict 10,690000000
Apartment,Apartment on sale,2,2,91,Velez Sarsfield,Disctrict 10,445000000
Apartment,Apartment on sale,1,2,42,Villa Real,Disctrict 10,357000000
Apartment,Apartment on sale,1,2,61,Agronomia,Disctrict 15,465000000
Apartment,Apartment on sale,3,2,59,Velez Sarsfield,Disctrict 10,164000000
House,House on sale,3,2,89,Villa Luro,Disctrict 10,300000000
Apartment,Apartment on sale,3,3,85,Nueva Pompeya,Disctrict 4,406000000
Apartment,Apartment on sale,4,4,261,Villa Soldati,Disctrict 8,1700000000
Apartment,Apartment on sale,2,3,109,Recoleta,Disctrict 2,570000000
House,House on sale,3,3,110,Villa Real,Disctrict 10,460000000
Apartment,Apartment on sale,3,3,157,Parque Patricios,Disctrict 4,960000000
Apartment,Apartment on sale,2,2,81,Villa Pueyrredon,Disctrict 12,510000000
Apartment,Apartment on sale,1,2,69,Montserrat,Disctrict 1,520000000
Apartment,Apartment on sale,2,1,36,Puerto Madero,Disctrict 1,142000000
Apartment,Apartment on sale,3,2,172,Almagro,Disctrict 5,750000000
Apartment,Apartment on sale,2,1,50,Liniers,Disctrict 9,160000000
House,House on sale,3,3,110,Chacarita,Disctrict 15,445000000
Apartment,Apartment on sale,2,2,74,Villa Soldati,Disctrict 8,570000000
Apartment,Apartment de 70 m2on sale,3,2,70,Caballito,Disctrict 6,319981523
Apartment,Apartment on sale,3,3,114,Villa Crespo,Disctrict 15,510000000
Apartment,Apartment on sale,1,2,58,Caballito,Disctrict 6,380000000
Apartment,Apartment on sale,3,1,47,Nueva Pompeya,Disctrict 4,134000000
Apartment,Apartment on sale,1,1,29,Velez Sarsfield,Disctrict 10,120000000
Apartment,Apartment on sale,3,2,93,Villa Luro,Disctrict 10,460000000
House,House on sale,3,3,131,Liniers,Disctrict 9,560000000
Apartment,Apartment on sale,2,2,59,Villa Devoto,Disctrict 11,351000000
Apartment,Apartment on sale,2,3,198,Villa Devoto,Disctrict 11,1390000000
Apartment,Apartment on sale,2,2,60,Montserrat,Disctrict 1,422000000
Apartment,Apartment on sale,3,2,78,Villa Crespo,Disctrict 15,260000000
Apartment,Apartment on sale,2,2,95,Agronomia,Disctrict 15,980000000
Apartment,Apartment on sale,2,1,42,San Telmo,Disctrict 1,116100000
Apartment,Apartment on sale,2,2,95,Villa Riachuelo,Disctrict 8,980000000
Apartment,Apartment on sale,3,2,54,Balvanera,Disctrict 3,237000000
Apartment,Apartment on sale,3,2,67,Parque Avellaneda,Disctrict 9,320000000
Apartment,Apartment on sale,4,4,132,Villa Santa Rita,Disctrict 11,530000000
Apartment,Apartment on sale,3,3,108,Barracas,Disctrict 4,503000000
Apartment,Apartment on sale,2,1,42,Parque Patricios,Disctrict 4,117000000
Apartment,Apartment on sale,3,3,166,San Nicolas,Disctrict 1,1300000000
Apartment,Apartment on sale,1,2,49,Villa Riachuelo,Disctrict 8,477000000
Apartment,Apartment on sale,4,4,100,Villa Crespo,Disctrict 15,450000000
Apartment,Apartment on sale,2,2,81,Boedo,Disctrict 5,515000000
Apartment,Apartment on sale,3,3,146,Retiro,Disctrict 1,730000000
Apartment,Apartment on sale,2,3,93,Parque Chacabuco,Disctrict 7,600000000
Apartment,Apartment on sale,4,2,97,Flores,Disctrict 7,480000000
Apartment,Apartment on sale,3,2,92,Parque Patricios,Disctrict 4,560000000
Apartment,Apartment on sale,1,2,48,Villa Lugano,Disctrict 8,308000000
Apartment,Apartment on sale,1,2,55,Agronomia,Disctrict 15,365000000
House,House on sale,5,4,278,Agronomia,Disctrict 15,1200000000
Apartment,Apartment on sale,1,1,51,Palermo,Disctrict 14,371000000
House,House on sale,4,3,148,Saavedra,Disctrict 12,850000000
Apartment,Apartment on sale,1,2,61,Versalles,Disctrict 10,428000000
Apartment,Apartment on sale,1,2,61,Villa del Parque,Disctrict 11,421000000
Apartment,Apartment on sale,3,3,127,Villa Real,Disctrict 10,650000000
Apartment,Apartment on sale,3,2,68,Martinez,Disctrict 13,295000000
Apartment,Apartment on sale,3,1,47,Montserrat,Disctrict 1,144000000
Apartment,Apartment on sale,3,2,70,Nueva Pompeya,Disctrict 4,280000000
Apartment,Apartment on sale,3,2,54,Villa Riachuelo,Disctrict 8,162000000
Apartment,Apartment on sale,3,3,86,San Nicolas,Disctrict 1,620000000
Apartment,Apartment on sale,3,3,118,Agronomia,Disctrict 15,1200000000
Apartment,Apartment on sale,3,2,88,Montserrat,Disctrict 1,360000000
Local,Local on sale,2,2,74,Villa Soldati,Disctrict 8,350000000
Apartment,Apartment on sale,3,3,127,San Cristobal,Disctrict 3,650000000
Apartment,Apartment on sale,3,2,92,Constitucion,Disctrict 1,560000000
Apartment,Apartment on sale,3,2,68,Villa Lugano,Disctrict 8,295000000
Apartment,Apartment on sale,3,2,75,Parque Patricios,Disctrict 4,413500000
Apartment,Apartment on sale,3,4,248,Constitucion,Disctrict 1,1200000000
Apartment,Apartment on sale,2,1,53,Martinez,Disctrict 13,370000000
Apartment,Apartment on sale,3,2,90,Caballito,Disctrict 6,600000000
Apartment,Apartment on sale,3,2,83,Villa Pueyrredon,Disctrict 12,390000000
Apartment,Apartment on sale,2,2,75,Agronomia,Disctrict 15,447500000
Apartment,Apartment on sale,2,1,56,Mataderos,Disctrict 9,132000000
Apartment,Apartment on sale,3,2,59,Parque Avellaneda,Disctrict 9,180000000
Apartment,Apartment on sale,1,1,43,San Nicolas,Disctrict 1,285000000
Apartment,Apartment on sale,3,2,97,Colegiales,Disctrict 13,620000000
Apartment,Apartment on sale,2,2,69,Villa Urquiza,Disctrict 12,400000000
Apartment,Apartment on sale,3,4,174,Agronomia,Disctrict 15,1380000000
Apartment,Apartment on sale,2,3,92,Coghlan,Disctrict 12,820000000
Apartment,Apartment on sale,1,1,46,Retiro,Disctrict 1,545000000
Apartment,Apartment on sale,3,2,48,Nueva Pompeya,Disctrict 4,217000000
Apartment,Apartment on sale,3,3,95,Villa Soldati,Disctrict 8,495000000
House,House on sale,3,2,66,Recoleta,Disctrict 2,330000000
Apartment,Apartment on sale,3,3,116,Villa Crespo,Disctrict 15,570000000
Apartment,Apartment on sale,2,2,60,Recoleta,Disctrict 2,280000000
Apartment,Apartment on sale,4,5,300,Caballito,Disctrict 6,2000000000
House,House on sale,3,2,80,Belgrano,Disctrict 13,390000000
Apartment,Apartment on sale,3,2,58,Recoleta,Disctrict 2,311000000
Bodega,Bodega on sale,3,2,68,Parque Avellaneda,Disctrict 9,164000000
Apartment,Apartment on sale,3,3,114,Mataderos,Disctrict 9,510000000
Apartment,Apartment on sale,2,2,70,Villa Santa Rita,Disctrict 11,319000000
Apartment,Apartment on sale,3,3,114,Puerto Madero,Disctrict 1,510000000
Apartment,Apartment on sale,1,2,50,Coghlan,Disctrict 12,303960000
Apartment,Apartment on sale,2,2,60,Parque Patricios,Disctrict 4,387000000
Apartment,Apartment on sale,2,3,75,Balvanera,Disctrict 3,390000000
Apartment,Apartment on sale,3,2,65,Villa Ortazar,Disctrict 15,315000000
Apartment,Apartment on sale,3,2,59,Floresta,Disctrict 10,245000000
Apartment,Apartment on sale,2,1,42,Villa Gral. Mitre,Disctrict 11,136000000
Apartment,Apartment on sale,3,2,45,Caballito,Disctrict 6,151000000
Apartment,Apartment on sale,3,1,47,Coghlan,Disctrict 12,129500000
Apartment,Apartment on sale,2,1,38,Villa Pueyrredon,Disctrict 12,150000000
Apartment,Apartment on sale,3,3,109,Parque Patricios,Disctrict 4,360000000
